Unnamed: 0,Date,Close,High,Low,Open,Volume
671,2022-08-31,809.0,812.25,788.75,794.75,1705
670,2022-08-30,798.25,824.0,794.0,818.5,12216
669,2022-08-29,820.0,827.0,774.75,785.75,23866
668,2022-08-26,784.75,792.25,764.0,764.5,28064
667,2022-08-25,769.75,803.5,766.5,794.75,18247
666,2022-08-24,795.0,799.75,775.0,782.25,23598
665,2022-08-23,782.75,802.5,767.25,770.0,26881
664,2022-08-22,770.5,774.0,744.5,754.0,22523
663,2022-08-19,753.25,756.75,727.25,733.0,18896
662,2022-08-18,731.5,766.5,725.75,764.75,38267
661,2022-08-17,763.25,797.0,759.5,785.25,29954
660,2022-08-16,786.0,810.5,782.5,799.0,25480
659,2022-08-15,800.75,804.5,778.0,802.0,29781
658,2022-08-12,806.0,811.25,782.25,811.25,40652
657,2022-08-11,810.75,820.75,794.5,800.0,63667
656,2022-08-10,799.75,808.5,780.25,781.5,68225
655,2022-08-09,781.5,801.25,772.75,785.75,59015
654,2022-08-08,779.75,793.75,760.75,776.5,64408
653,2022-08-05,775.75,796.75,769.75,782.0,51597
652,2022-08-04,782.5,789.5,758.25,768.0,46769
651,2022-08-03,763.75,790.25,752.0,774.0,51385
650,2022-08-02,774.75,795.75,772.75,795.0,47230
649,2022-08-01,800.25,820.25,781.25,812.75,41076
648,2022-07-29,807.75,845.75,801.0,817.0,47268
647,2022-07-28,817.0,824.25,786.25,786.25,37417
646,2022-07-27,790.25,818.75,782.0,802.5,41494
645,2022-07-26,803.75,806.0,772.25,773.0,43798
644,2022-07-25,770.0,793.5,760.5,787.0,47491
643,2022-07-22,759.0,807.25,754.0,803.25,66188
642,2022-07-21,806.25,834.0,795.5,819.5,43046
641,2022-07-20,819.5,843.5,801.0,810.25,38891
640,2022-07-19,812.25,822.25,792.5,808.5,45981
639,2022-07-18,812.75,825.0,778.5,787.25,42326
638,2022-07-15,776.75,804.75,765.75,798.0,44621
637,2022-07-14,794.25,794.25,794.25,794.25,53660
636,2022-07-13,798.25,819.25,798.25,810.0,30
635,2022-07-12,801.5,839.25,801.5,835.0,70
634,2022-07-11,843.75,888.0,843.75,888.0,102
633,2022-07-08,879.25,879.25,841.75,843.5,110
632,2022-07-07,824.5,825.25,816.0,816.0,187
